guess, actual
1.5, 1.7
25, 24.1
4, 3.1
17, 16.6
11, 8.3
5.5, 3.7
8, 4.9
7, 5.9
24, 23.4
2.5, 2
3, 2.4
4.5, 2.7
10, 7.3
11, 9.7
30, 28
3, 3
9, 6.5
3.5, 1.6
0, null
20, 17.5
12.5, 2.9
8, 5.1
5, 6.4
0, 0
4, 4.3
4, 6
3, 4.4
10, 12.9
25, 23.4
2, 2
11, 11.8
10, 11.5
5, 5.7
1, 1
1, 2
10, 9.4
3, 2.7
3, 5
9, 10.7
10, 10.8
1, 0.7
1, 3.6
2, 8.1
3, 2.5
4, 1.6
5, 0.8
6, 2.1
7, 5.1
8, null
9, null
10, 12.7
11, 14.4
12, 4
13, 5.3
14, 19
15, 1.3
16, 8.1
17, 4.2
18, 6.2
19, 2.4
20, 9.6
10, 10.2
10, 5.6
6, 3.8
6, 7
8, 6.1
8, 8.5
25, 27.1
1.4, 1.3
0, 0
12, 7.6
25, 24.9
20, 13.3
10, 9.4
11, 7
16, 15.6
15, 13.4
6, 3.7
2, 1.2
8, 6.1
2, 0.8
0, 0
1, 1.3
3, 2.1
6, 5.6
1.5, 1.8
12, 12.6
5, 5.6
3, 2.6
0, 0
1, 0.7
8, 3.8
2, 1.3
8, 9.6
20, 15.7
17, 21.2
10, 6.9
7, 7.4
5, 3.2
13, 10.8
8, 3.9
1, 1.2
3, 2.7
15, 17.5
2, 2
6, 9.6
9, 5.6
2, 1.1
4, 4.7
0, null
30, 21.4
2, 2.6
18, 20.1
7, 9.7
23, 13.8
20, 15.8
3, 2
27, 22.3
12, 11.4
22, 13.7
25, 26.1
2, 2
8, 6.5
13, 12.2
11, 12.7
1, 1.1
4, 4.8
2, 3
13, 12.5
3, 4.4
3, 3.3
12, 13.6
4, 4.3
6, 5.9
2, 2.1
0, null
13, 13.7
5, 5.8
22, 21
7, 6.9
2, 2.1
9, 6.7
0, 0
4, 3.8
8, 5.8
0, 0
6, 5
10, 8.6
3, 2.5
3, 2.1
16, 15.5
-1, null
1, 1
10, 6.5
2, 2.8
19, 15.3
4, 2.9
10, 10.4
0.5, 0.6
10, 9.8
3, 2.5
6, 4.4
12, 8.3
7, 4.3
20, 21.8
11, 6.9
6, 6.2
22, 18.2
2, 2.8
3, 2.4
4, 4.1
14, 11.3
31, 26.7
8, 7.6
6, 6.2
25, 22
24, 24.9
28, 28.4
8, 6.2
12, 12.6
6, 4.4
14, 13.3
16, 13.3
30, 27.1
5, 2.4
9, 6.2
5, 3
5, 6.1
12, 10.8
5, 5.5
2, 2
8, 7.6
5, 4.4
4, 1.8
12, 10.4
5, 2.7
14, 10.7
4, 3.6
